tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
shop=bakery,shop,bakery,node,12533371320,파리바게뜨,파리바게뜨,Paris Baguette,Y,37.5679171,126.9319732,
amenity=restaurant,amenity,restaurant,node,7559560008,논산상회,,,Y,37.5006176,126.9331335,
amenity=restaurant,amenity,restaurant,node,13946953248,라 보까,,,Y,37.5525466,126.9186715,서울특별시 마포구 잔다리로 48
amenity=restaurant,amenity,restaurant,node,12074613091,단비,,,Y,37.4810806,127.0832511,광평로10길 50
amenity=restaurant,amenity,restaurant,node,12074555689,텐쿡,,,Y,37.4871472,127.0088511,반포대로19길 9-4
amenity=dentist,amenity,dentist,node,4646289242,예사랑치과의원,,,Y,37.5127642,126.8515412,
amenity=restaurant,amenity,restaurant,node,13946954136,도화오뎅 마포,,,Y,37.5399997,126.9478288,서울특별시 마포구 도화길 14
amenity=restaurant,amenity,restaurant,node,13946853163,이향해장국,,,Y,37.6477982,127.0129340,19로 11
amenity=restaurant,amenity,restaurant,node,13946954163,웍스터(WOKSTER),,,Y,37.5607161,126.9204883,서울특별시 마포구 동교로27길 71
shop=convenience,shop,convenience,node,11268266300,GS25,,,N,37.4917538,126.7624168,
amenity=restaurant,amenity,restaurant,node,12074409998,BJ냉면,,,Y,37.4911451,126.9249200,보라매로3길 29
amenity=restaurant,amenity,restaurant,node,12073349486,소반,,,Y,37.5887804,126.9952428,
amenity=restaurant,amenity,restaurant,node,12074775746,찌마기용두점,,,Y,37.5732123,127.0308201,무학로 102
amenity=restaurant,amenity,restaurant,node,4749980484,301동 교수식당,,,Y,37.4502357,126.9525716,
amenity=fast_food,amenity,fast_food,node,9787432977,Super Kitchen,,,N,37.4979675,126.9981766,
amenity=bank,amenity,bank,node,12069229714,IBK기업은행,IBK기업은행,Industrial Bank of Korea,Y,37.5675460,126.9795205,
amenity=fuel,amenity,fuel,node,368904692,코리아주유소,코리아주유소,Mugunghwa Gas Station,Y,37.5195983,126.8719584,
amenity=restaurant,amenity,restaurant,node,13851761873,무쇠김치삼겹,,,Y,37.5617573,126.9854028,명동8가길 6
amenity=restaurant,amenity,restaurant,node,13854682921,윤식당,,,Y,37.5707512,127.0691070,"답십리로68길 37, 1층 (장안동)"
